fecha,prediccion
2023-12-10,19934.51
2023-12-11,15786.062
2023-12-12,19838.18
2023-12-13,20867.133
2023-12-14,19859.21
2023-12-15,17859.3
2023-12-16,15495.048
2023-12-17,14841.618
2023-12-18,10217.157
2023-12-19,10597.263
2023-12-20,13361.445
2023-12-21,15937.983
2023-12-22,17020.27
2023-12-23,17686.988
2023-12-24,17686.988
2023-12-25,12474.033
2023-12-26,10330.969
2023-12-27,11740.484
2023-12-28,13363.121
2023-12-29,15937.983
2023-12-30,16840.072
2023-12-31,17686.988
2024-01-01,18343.543
2024-01-02,20482.965
2024-01-03,22050.617
2024-01-04,22644.605
2024-01-05,22644.605
2024-01-06,21684.736
2024-01-07,20735.404
2024-01-08,17237.5
